Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the genitourinary system	HP:0010786	Urinary tract neoplasm	The presence of a `neoplasm` (MPATH:218) of the `urinary system` (FMA:7159).	Neoplasias del tracto urinario	
Abnormality of the genitourinary system	HP:0000012	Urinary urgency	Urge incontinence is the strong, sudden need to urinate.	Urgencia urinaria	
Abnormality of the genitourinary system	HP:0100589	Urogenital fistula	The presence of a `fistula` (MPATH:70) affecting the `genitourinary system` (FMA:280610).	Fístula urogenital	
Abnormality of the genitourinary system	HP:0100779	Urogenital sinus anomaly	A rare birth defect in women where the urethra and vagina both open into a common channel.	Anomalía del seno urogenital	
Abnormality of the genitourinary system	HP:0000131	Uterine leiomyoma	The presence of a `leiomyoma` (MPATH:425) of the `uterus` (FMA:17558).	Leiomioma uterino	
Abnormality of the genitourinary system	HP:0002891	Uterine leiomyosarcoma	The presence of a `leiomyosarcoma` (MPATH:426) of the `uterus` (FMA:17558).	Leiomiosarcoma uterino	
Abnormality of the genitourinary system	HP:0010784	Uterine neoplasm	A `neoplasm` (MPATH:218) of the `uterus` (FMA:17558).	Neoplasia uterina	
Abnormality of the genitourinary system	HP:0000139	Uterine prolapse	The presence of `prolapse` (MPATH:626) of the `uterus` (FMA:17558).	Prolapso uterino	
Abnormality of the genitourinary system	HP:0100718	Uterine rupture		Ruptura uterina	
Abnormality of the genitourinary system	HP:0003762	Uterus didelphys	A malformation of the `uterus` (FMA:17558) in which the uterus is present as a paired organ as a result of the failure of fusion of the mullerian ducts during embryogenesis.	Útero didelfo	
Abnormality of the genitourinary system	HP:0000148	Vaginal atresia	Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.	Atresia vaginal	
Abnormality of the genitourinary system	HP:0004320	Vaginal fistula	The presence of a `fistula` (MPATH:70) of the `vagina` (FMA:19949).	Fístula vaginal	
Abnormality of the genitourinary system	HP:0100674	Vaginal hematocele		Hematocele vaginal	
Abnormality of the genitourinary system	HP:0100672	Vaginal hernia	The presence of a `hernia` (MPATH:75) of the `vagina` (FMA:19949).	Hernia vaginal	
Abnormality of the genitourinary system	HP:0100673	Vaginal hydrocele		Hidrocele vaginal	
Abnormality of the genitourinary system	HP:0100676	Vaginal lymphocele		Linfocele vaginal	
Abnormality of the genitourinary system	HP:0100650	Vaginal neoplasm	The presence of a `neoplasm` (MPATH:218) of the `vagina` (FMA:19949).	Neoplasia vaginal	
Abnormality of the genitourinary system	HP:0100675	Vaginal pyocele		Piocele vaginal	
Abnormality of the genitourinary system	HP:0100677	Vaginal varicocele	Varicosity of veins in the vulval region.	Varicocele vaginal	
Abnormality of the genitourinary system	HP:0012870	Vanishing testis	A condition which is considered to be due to the subsequent atrophy and disappearance in fetal life of an initially normal testis. In the presence of spermatic cord structures is evidence of the presence of the testis in early intrauterine life. When associated with a blind-ending spermatic cord, this entity is named as his absence of a testis in an otherwise normal 46XY male is usually unilateral and is assumed to be a consequence of intrauterine or perinatal torsion or infarction.	Testículo evanescente	
Abnormality of the genitourinary system	HP:0012871	Varicocele	A varicocele is a widening of the veins along the spermatic cord, leading to enlarged, twisted veins in the scrotum, and manifested clinically by a painless testicle lump, scrotal swelling, or bulge in the scrotum.	Varicocele	
Abnormality of the genitourinary system	HP:0012435	Ventral shortening of foreskin	Reduction in length of the ventral (lower) `skin of prepuce of penis` (FMA:27648).	Acortamiento ventral del prepucio	
Abnormality of the genitourinary system	HP:0000076	Vesicoureteral reflux	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.	Reflujo vesicoureteral	
Abnormality of the genitourinary system	HP:0001586	Vesicovaginal fistula	The presence of a `fistula` (MPATH:70) connecting the `urinary bladder` (FMA:15900) to the `vagina` (FMA:19949).	Fístula vesico-vaginal	
Abnormality of the genitourinary system	HP:0000804	Xanthine nephrolithiasis	The presence of xanthine-containing calculi (stones) in the kidneys.	Nefrolitiasis xantina	
	Abnormality of metabolism/homeostasis				
Abnormality of metabolism/homeostasis	HP:0003607	4-Hydroxyphenylacetic aciduria	Increased concentration of `4-hydroxyphenylacetic acid` (CHEBI:18101) in the urine.	Aciduria 4-hidroxifenilacética	
Abnormality of metabolism/homeostasis	HP:0003161	4-Hydroxyphenylpyruvic aciduria	Increased concentration of `(4-hydroxyphenyl)pyruvic acid` (CHEBI:15999) in the urine.	Aciduria 4-hidroxifenilpirúvica	
Abnormality of metabolism/homeostasis	HP:0008181	Abetalipoproteinemia	An absence of `low-density lipoprotein cholesterol` (CHEBI:47774) in the `blood` (FMA:9670).	Abetalipoproteinemia	
Abnormality of metabolism/homeostasis	HP:0011922	Abnormal activity of mitochondrial respiratory chain	An increased or decreased activity of the `mitochondrial respiratory chain` (GO:0005746).	Actividad anormal de la cadena respiratoria mitocondrial 	
Abnormality of metabolism/homeostasis	HP:0012116	Abnormal albumin level	Deviation from normal concentration of `albumin` (PR:000003918) in the `blood` (FMA:9670).	Nivel de albúmina anormal	
Abnormality of metabolism/homeostasis	HP:0012400	Abnormal aldolase level	An abnormal concentration of aldolase in the serum. Aldolase is an enzyme responsible for converting fructose 1,6-bisphosphate into the triose phosphates dihydroxyacetone phosphate and glyceraldehyde 3-phosphate.	Nivel de aldolasa anormal	
Abnormality of metabolism/homeostasis	HP:0003464	Abnormal cholesterol homeostasis		Homeostasis del colesterol anormal	
Abnormality of metabolism/homeostasis	HP:0012100	Abnormal circulating creatinine level	An abnormal concentration of `creatinine` (CHEBI:16737) in the `blood` (FMA:9670).	Nivel de creatinina circulante anormal	
Abnormality of metabolism/homeostasis	HP:0012338	Abnormal energy expenditure	Any anomaly in the utilization of energy (calories).	Gasto de energía anormal	
Abnormality of metabolism/homeostasis	HP:0012379	Abnormal enzyme/coenzyme activity	An altered ability of any enzyme or their cofactors to act as catalysts.	Actividad anormal de la enzima/coenzima	
Abnormality of metabolism/homeostasis	HP:0012359	Abnormal fucosylation of O-linked protein glycosylation	An anomaly of the addition of fucose sugar units to O-linked glycans.	Fucosilación anormal por o-glicosilación de proteínas	
Abnormality of metabolism/homeostasis	HP:0012352	Abnormal fucosylation of protein N-linked glycosylation	An anomaly of the addition of fucose sugar units to N-linked glycans.	Fucosilación anormal por n-glicosilación de proteínas	
Abnormality of metabolism/homeostasis	HP:0011014	Abnormal glucose homeostasis	Abnormality of `glucose homeostasis` (GO:0042593).	Homeostasis anormal de la glucosa	
Abnormality of metabolism/homeostasis	HP:0001952	Abnormal glucose tolerance	An `abnormal` (PATO:0000460) `resistance to` (PATO:0001046) `glucose`(CHEBI:17234), i.e., a reduction in the ability to maintain glucose levels in the blood stream within normal limits following oral or intravenous administration of glucose.	Tolerancia anormal a la glucosa	
Abnormality of metabolism/homeostasis	HP:0012345	Abnormal glycosylation	An anomaly of a `glycosylation` (GO:0070085) process, i.e., a process involved in the covalent attachment of a glycosyl residue to a substrate molecule.	Glicosilación anormal	
Abnormality of metabolism/homeostasis	HP:0012337	Abnormal homeostasis	An anomaly in the processes involved in the maintenance of an internal equilibrium.	Homeostasis anormal	
Abnormality of metabolism/homeostasis	HP:0008306	Abnormal iron deposition in mitochondria		Depósito anormal de hierro mitocondrial	
Abnormality of metabolism/homeostasis	HP:0003160	Abnormal isoelectric focusing of serum transferrin	Glycosylated transferrin concentrations can be measured in serum as a marker of N-linked glycosylation fidelity. In the traditional nomenclature for congenital disorders of glycosylation, absence of entire glycans was designated type I, and loss of one or more monosaccharides as type II. These terms are retained for historical reasons but for new annotations the precise glycosylation defect should be recorded.	Enfoque isoeléctrico anormal de la transferrina sérica	
Abnormality of metabolism/homeostasis	HP:0012355	Abnormal mannosylation of N-linked protein glycosylation	An anomaly of the addition of mannose to N-linked glycans.	Manosilación anormal de n-glicosilación de proteínas	
Abnormality of metabolism/homeostasis	HP:0008316	Abnormal mitochondria in muscle tissue	An abnormality of the mitochondria in muscle tissue.	Mitocondrias anormales en el tejido muscular	
Abnormality of metabolism/homeostasis	HP:0008322	Abnormal mitochondrial morphology	Any structural anomaly of the mitochondria.	Morfología mitocondrial anormal	
Abnormality of metabolism/homeostasis	HP:0012102	Abnormal mitochondrial number	A deviation from the normal number of mitochondria per cell.	Número anormal de mitocondrias	
Abnormality of metabolism/homeostasis	HP:0012087	Abnormal mitochondrial shape	An anomaly in the surface contour of mitochondria.	Forma mitocondrial anormal	
Abnormality of metabolism/homeostasis	HP:0004924	Abnormal oral glucose tolerance	A type of `Abnormal glucose tolerance` (HP:0001952) observed following administration of an oral bolus of glucose.	Tolerancia oral a la glucosa anormal - alterada	
Abnormality of metabolism/homeostasis	HP:0012347	Abnormal protein N-linked glycosylation	An anomaly of `protein N-linked glycosylation` (GO:0006487), i.e., an abnormality of the protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via a nitrogen atom in an amino acid residue in a protein.	O-glicosilación anormal de proteínas	
Abnormality of metabolism/homeostasis	HP:0012358	Abnormal protein O-linked glycosylation	An anomaly of `protein O-linked glycosylation` (GO:0006493), i.e., of the process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of a serine or threonine residue.	N-glicosilación anormal de proteínas	
Abnormality of metabolism/homeostasis	HP:0012346	Abnormal protein glycosylation	An anomaly of a `protein glycosylation` (GO:0006486) process, i.e., of a protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	Glicosilación anormal de proteínas 	
Abnormality of metabolism/homeostasis	HP:0012349	Abnormal sialylation of N-linked protein glycosylation	An anomaly of the addition of sialic acids to N-linked glycans.	Sialilación anormal de n-glicosilación de proteínas	
Abnormality of metabolism/homeostasis	HP:0012362	Abnormal sialylation of O-linked protein glycosylation	An anomaly of the addition of sialic acids to O-linked glycans.	Sialilación anormal de o-glicosilación de proteínas	
Abnormality of metabolism/homeostasis	HP:0003254	Abnormality of DNA repair	An abnormality of the process of `DNA repair` (GO:0006281), that is, of the process of restoring DNA after damage.	Anormalidad de la reparación del ADN	
Abnormality of metabolism/homeostasis	HP:0000816	Abnormality of Krebs cycle metabolism	An abnormality of the `tricarboxylic acid cycle` (GO:0006099).	Anormalidad del metabolismo de la acetilcarnitina	
